ID,valence,year,acousticness,danceability,duration_ms,energy,explicit,instrumentalness,key,liveness,loudness,mode,popularity,speechiness,tempo
7806,0.343,1961,0.941,0.396,182360,0.293,0,0.000196,2,0.105,-14.062,1,78,0.0275,100.307
7807,0.598,1961,0.451,0.364,171600,0.607,0,0.0,2,0.251,-9.791,1,63,0.125,79.987
7808,0.35600000000000004,1961,0.931,0.471,164573,0.021,0,1.19e-06,10,0.103,-24.385,1,66,0.0366,107.765
7809,0.967,1961,0.7290000000000001,0.785,148040,0.7759999999999999,0,0.0,2,0.181,-5.259,1,67,0.0312,121.505
7810,0.8,1961,0.768,0.594,221704,0.889,0,0.0,5,0.124,-7.775,1,63,0.246,116.187
7811,0.718,1961,0.604,0.586,147293,0.253,0,0.0,6,0.3,-11.93,0,62,0.0538,108.168
7812,0.505,1961,0.917,0.481,171333,0.0568,0,0.0,10,0.12,-20.508000000000006,1,61,0.0357,111.799
7813,0.855,1961,0.301,0.59,168640,0.546,0,0.0,7,0.0936,-10.213,1,58,0.0436,114.04
7814,0.155,1961,0.937,0.39,125585,0.0235,0,0.00128,5,0.099,-19.695,1,63,0.0345,133.403
7815,0.464,1961,0.312,0.55,160693,0.382,0,1.11e-05,0,0.221,-6.4289999999999985,1,62,0.0263,136.128
7816,0.7290000000000001,1961,0.153,0.594,137307,0.5329999999999999,0,1.49e-05,10,0.172,-7.9929999999999986,0,61,0.0438,78.55199999999998
7817,0.139,1961,0.935,0.395,297320,0.121,0,0.397,9,0.6970000000000001,-23.427,1,62,0.0327,114.521
7818,0.255,1961,0.951,0.425,419627,0.0429,0,0.0184,1,0.14800000000000002,-24.86,1,62,0.0408,96.097
7819,0.7440000000000001,1961,0.532,0.644,171427,0.156,0,0.0,1,0.105,-16.529,1,58,0.0329,113.96
7820,0.934,1961,0.377,0.57,145533,0.529,0,0.00509,5,0.203,-10.769,1,62,0.028,123.273
7821,0.843,1961,0.667,0.723,143200,0.44,0,0.0,2,0.128,-10.536,1,55,0.0319,123.217
7822,0.455,1961,0.596,0.516,182560,0.457,0,0.0,8,0.106,-12.609000000000002,1,54,0.184,173.93400000000003
7823,0.0391,1961,0.994,0.211,184707,0.007559999999999998,0,0.89,7,0.0734,-33.123000000000005,1,58,0.0455,118.247
7824,0.963,1961,0.73,0.703,155173,0.7240000000000001,0,0.0,7,0.518,-10.818,1,56,0.0467,131.821
7825,0.981,1961,0.687,0.795,142067,0.6729999999999999,0,0.0,5,0.344,-6.938,1,53,0.0327,105.716
7826,0.574,1961,0.926,0.442,144733,0.21600000000000005,0,0.944,7,0.14400000000000002,-17.569000000000006,1,58,0.0555,118.779
7827,0.285,1961,0.6940000000000001,0.277,824133,0.242,0,0.464,4,0.113,-18.442,1,58,0.0342,175.384
7828,0.962,1961,0.902,0.6859999999999999,171413,0.6920000000000001,0,0.000474,10,0.104,-9.793,1,58,0.0419,79.071
7829,0.7020000000000001,1961,0.436,0.565,120333,0.329,0,0.0,10,0.29,-12.222,0,56,0.0475,79.054
7830,0.454,1961,0.635,0.522,251600,0.379,0,0.925,4,0.114,-14.095999999999998,0,57,0.0286,133.69799999999998
7831,0.6779999999999999,1961,0.34600000000000003,0.401,129333,0.213,0,1.05e-05,1,0.0596,-13.124,1,57,0.0545,110.611
7832,0.907,1961,0.0987,0.604,137360,0.7090000000000001,0,0.0,8,0.0551,-6.377000000000002,1,65,0.158,167.832
7833,0.695,1961,0.768,0.635,141907,0.468,0,0.00134,3,0.5760000000000001,-7.175,1,51,0.0417,149.64
7834,0.921,1961,0.764,0.703,151627,0.7759999999999999,0,0.0,9,0.0988,-10.983,1,50,0.139,177.283
7835,0.8909999999999999,1961,0.473,0.358,138667,0.525,0,0.0,0,0.16699999999999998,-10.077,1,48,0.0356,71.257
7836,0.964,1961,0.5539999999999999,0.813,143733,0.4270000000000001,0,0.0,2,0.0248,-11.543,1,56,0.0921,123.112
7837,0.901,1961,0.809,0.552,170760,0.7,0,0.0,7,0.805,-4.533,1,51,0.0295,132.005
7838,0.342,1961,0.927,0.575,525613,0.187,0,0.8759999999999999,0,0.166,-13.081,0,53,0.0513,107.469
7839,0.931,1961,0.502,0.602,138547,0.633,0,0.0,9,0.0614,-9.756,1,56,0.0314,98.995
7840,0.401,1961,0.528,0.504,180893,0.361,0,0.0,8,0.123,-16.679000000000002,1,48,0.184,173.366
7841,0.88,1961,0.563,0.526,111536,0.728,0,0.0,0,0.159,-7.227,1,50,0.0737,78.709
7842,0.913,1961,0.698,0.617,133453,0.444,0,0.0,7,0.0999,-10.133,1,46,0.0371,127.699
7843,0.322,1961,0.8140000000000001,0.7040000000000001,597280,0.277,0,0.7559999999999999,0,0.0845,-11.675,1,56,0.035,90.38
7844,0.888,1961,0.328,0.647,126587,0.654,0,0.0,4,0.141,-5.482,1,52,0.0563,140.711
7845,0.0382,1961,0.7929999999999999,0.163,185267,0.128,0,0.855,2,0.113,-15.45,1,46,0.0386,136.843
7846,0.109,1961,0.959,0.461,381520,0.131,0,0.885,10,0.187,-14.808,1,50,0.0295,65.902
7847,0.789,1961,0.32,0.608,174293,0.594,0,4.75e-05,2,0.129,-11.86,1,51,0.0435,125.166
7848,0.615,1961,0.0723,0.65,119867,0.496,0,0.88,7,0.119,-13.869000000000002,1,54,0.115,116.868
7849,0.039,1961,0.948,0.105,263493,0.0355,0,0.965,0,0.0956,-25.317,1,54,0.0393,91.169
7850,0.0393,1961,0.948,0.0833,159745,0.139,0,0.838,1,0.115,-19.683,1,53,0.0326,169.57299999999995
7851,0.106,1961,0.966,0.343,286893,0.045,0,0.00606,0,0.135,-25.056,1,51,0.0435,93.177
7852,0.779,1961,0.835,0.617,120440,0.53,0,0.0,5,0.377,-12.799,0,49,0.0294,104.077
7853,0.206,1961,0.852,0.517,349493,0.108,0,0.8809999999999999,0,0.124,-24.465,1,48,0.0479,79.512
7854,0.634,1961,0.901,0.515,158360,0.15,0,0.8220000000000001,10,0.124,-17.94,0,43,0.0274,99.758
7855,0.344,1961,0.905,0.531,264440,0.134,0,0.0,1,0.0803,-13.731,1,47,0.0348,108.168
7856,0.77,1961,0.637,0.35100000000000003,165400,0.315,0,0.0,11,0.348,-12.837,0,41,0.0353,141.412
7857,0.962,1961,0.736,0.7240000000000001,141240,0.748,0,0.0,5,0.0692,-7.224,1,44,0.0499,107.904
7858,0.884,1961,0.6920000000000001,0.601,158933,0.4920000000000001,0,0.878,7,0.147,-13.722,1,46,0.0444,79.157
7859,0.966,1961,0.652,0.68,194640,0.57,0,1.18e-05,3,0.0565,-12.388,1,43,0.0958,115.894
7860,0.898,1961,0.892,0.7340000000000001,187893,0.556,0,1.14e-05,5,0.168,-9.618,1,51,0.0987,90.642
7861,0.516,1961,0.742,0.466,171227,0.416,0,5.04e-06,5,0.249,-8.249,1,47,0.026,98.78
7862,0.66,1961,0.954,0.5589999999999999,121360,0.131,0,0.0,0,0.108,-17.813,1,44,0.0349,102.982
7863,0.454,1961,0.812,0.398,120307,0.325,0,0.0,10,0.16899999999999998,-6.159,1,43,0.0382,80.563
7864,0.486,1961,0.544,0.439,169373,0.381,0,0.0,2,0.0715,-11.124,0,40,0.029,110.325
7865,0.473,1961,0.624,0.195,155893,0.33,0,0.0,4,0.208,-11.291,1,40,0.029,95.601
7866,0.0989,1961,0.8029999999999999,0.447,345267,0.121,0,0.777,3,0.0695,-21.562,1,45,0.0378,121.761
7867,0.922,1961,0.482,0.615,151680,0.375,0,0.0,0,0.111,-10.362,0,46,0.0319,110.72
7868,0.916,1961,0.718,0.644,169760,0.371,0,0.0,0,0.348,-14.436,1,42,0.039,82.90899999999998
7869,0.7,1961,0.653,0.413,299000,0.5589999999999999,0,2.05e-05,2,0.565,-8.937999999999997,0,46,0.217,158.812
7870,0.151,1961,0.951,0.407,299840,0.0347,0,0.922,0,0.7090000000000001,-28.998,1,46,0.0382,61.018
7871,0.6409999999999999,1961,0.773,0.476,137027,0.401,0,0.0,8,0.0815,-8.075,0,44,0.0364,103.657
7872,0.21,1961,0.912,0.418,395560,0.227,0,0.8220000000000001,4,0.0956,-15.537,0,45,0.0379,103.586
7873,0.7490000000000001,1961,0.797,0.434,119000,0.458,0,0.0,2,0.0698,-8.861,1,41,0.0351,76.26899999999998
7874,0.722,1961,0.636,0.573,141627,0.133,0,1.65e-06,11,0.115,-20.378,1,42,0.0369,97.026
7875,0.195,1961,0.7879999999999999,0.159,155933,0.162,0,5.14e-05,1,0.135,-12.618,1,44,0.0358,89.84100000000002
7876,0.965,1961,0.242,0.425,126053,0.914,0,0.961,9,0.136,-6.931,1,39,0.0367,134.624
7877,0.15,1961,0.92,0.389,360307,0.145,0,0.8759999999999999,5,0.6559999999999999,-22.965,1,44,0.0301,99.541
